top	초기화면		green|guide|mail|bbs|computer|potion|blindnews|magazin|pds|edu2013
xvpds3	3. BrailleNote 관련 자료	xvpds	http://web.kbuwel.or.kr/menu/?mo=xvpds&club=main&bcode=xvpds3
xvpds4	4. 게임 자료실	xvpds	http://web.kbuwel.or.kr/menu/?mo=xvpds&club=main&bcode=xvpds4
xvpds5	5. 게임사용자 자료실	xvpds	http://web.kbuwel.or.kr/menu/?mo=xvpds&club=main&bcode=xvpds5
xvpds6	6. 모바일센스자료실	xvpds	http://web.kbuwel.or.kr/menu/?mo=xvpds&club=main&bcode=xvpds6
xvpdsall	7. 전체자료실	xvpds	http://web.kbuwel.or.kr/menu/?mo=xvpds&club=main&bcode=xvpdsall
xvhope	10. Xvision Technology에게 바란다	xvsrd	http://web.kbuwel.or.kr/menu/?mo=xvsrd&club=main&bcode=xvhope

neo	5. (주)네오액세스	prg	neo1|neo3
neo1	1. 공지사항	neo	http://web.kbuwel.or.kr/menu/?mo=neo&club=neo&bcode=neo1
neo3	3. 자유롭게 글쓰기	neo	http://web.kbuwel.or.kr/menu/?mo=neo&club=neo&bcode=neo3

skt	6. SK 행복을 들려주는 도서관	computer	skt1|skt2|skt3|skt4
skt1	1. 공지사항	skt	http://web.kbuwel.or.kr/menu/index.php?page=1&club=skt&bcode=skt1&mo=skt&&gonum=&s_que=
skt2	2. 묻고 답하기	skt	http://web.kbuwel.or.kr/menu/index.php?page=1&club=skt&bcode=skt2&mo=skt&&gonum=&s_que=
skt3	3. 자료실	skt	http://web.kbuwel.or.kr/menu/index.php?page=1&club=skt&bcode=skt3&mo=skt&&gonum=&s_que=
skt4	4. 행복이벤트 참여 게시판	skt	http://web.kbuwel.or.kr/menu/index.php?page=1&club=skt&bcode=skt4&mo=skt&&gonum=&s_que=

potion	5. 동호회 모음	top	circle|classmate|religion

circle	1. 일반 동호회	potion	saju|comto

saju	12. 미래예측학 동호회	circle	saju1|saju2|saju3|saju4|saju5|saju6|saju9

saju1	1. 공지사항	saju	http://web.kbuwel.or.kr/menu/?mo=saju&club=saju&bcode=saju1
saju2	2. 게시판	saju	http://web.kbuwel.or.kr/menu/?mo=saju&club=saju&bcode=saju2
saju3	3. 나의 경험담	saju	http://web.kbuwel.or.kr/menu/?mo=saju&club=saju&bcode=saju3
saju4	4. 무엇이든 물어 보세요	saju	http://web.kbuwel.or.kr/menu/?mo=saju&club=saju&bcode=saju4

saju5	5. 자료실	saju	saju51|saju52|saju53
saju51	1. 문서 자료실	saju5	http://web.kbuwel.or.kr/menu/?mo=saju5&club=saju&bcode=saju51
saju52	2. 프로그램 자료실	saju5	http://web.kbuwel.or.kr/menu/?mo=saju5&club=saju&bcode=saju52
saju53	3. 기타 자료실	saju5	http://web.kbuwel.or.kr/menu/?mo=saju5&club=saju&bcode=saju53

saju6	6. 동양예측학 강좌	saju	http://web.kbuwel.or.kr/menu/?mo=saju&club=saju&bcode=saju6
saju9	7. 서양예측학 강좌	saju	http://web.kbuwel.or.kr/menu/?mo=saju&club=saju&bcode=saju9


comto	43. 컴토피아	circle	comton|comtof|comtod|comtol|comtoq|comtoj|comtor
comton	1. 공지사항	comto	http://web.kbuwel.or.kr/menu/?mo=comto&club=comto&bcode=comton
comtof	2. 자유게시판	comto	http://web.kbuwel.or.kr/menu/?mo=comto&club=comto&bcode=comtof

comtod	3. 자료실	comto	comtod1|comtod2|comtod3|comtod4|comtod5|comtod6|comtod7|comtod8|comtod9|comtod10|comtod99
comtod1	1. 운영체제	comtod	http://web.kbuwel.or.kr/menu/?mo=comtod&club=comto&bcode=comtod1
comtod2	2. 드라이버	comtod	http://web.kbuwel.or.kr/menu/?mo=comtod&club=comto&bcode=comtod2
comtod3	3. 스크린리더 / 점자 / TTS	comtod	http://web.kbuwel.or.kr/menu/?mo=comtod&club=comto&bcode=comtod3
comtod4	4. 문서 / 오피스	comtod	http://web.kbuwel.or.kr/menu/?mo=comtod&club=comto&bcode=comtod4
comtod5	5. 유틸리티	comtod	http://web.kbuwel.or.kr/menu/?mo=comtod&club=comto&bcode=comtod5
comtod6	6. 멀티미디어	comtod	http://web.kbuwel.or.kr/menu/?mo=comtod&club=comto&bcode=comtod6
comtod7	7. 백업 / 복구	comtod	http://web.kbuwel.or.kr/menu/?mo=comtod&club=comto&bcode=comtod7
comtod8	8. 포터블	comtod	http://web.kbuwel.or.kr/menu/?mo=comtod&club=comto&bcode=comtod8
comtod9	9. 토렌트	comtod	http://web.kbuwel.or.kr/menu/?mo=comtod&club=comto&bcode=comtod9
comtod10	10. 기타	comtod	http://web.kbuwel.or.kr/menu/?mo=comtod&club=comto&bcode=comtod10
